2024-01-21 19:17:48,449: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-01-21 19:17:50,849: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-01-21 19:17:50,851: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-01-21 19:17:50,854: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-01-21 19:17:50,854: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-01-21 19:17:50,859: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-01-21 19:17:50[0m
2024-01-21 19:17:50,861: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,900: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,905: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-01-21 19:17:50,911: root: INFO: [34mMLTrader : Trading iteration ended at 2024-01-21 19:17:50[0m
2024-01-21 19:17:50,911: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,912: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,915: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,915: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-21 19:17:50,915: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-21 19:17:50,915: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-01-21 19:17:50,915: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-01-21 19:17:50,923: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-01-21 19:17:50,929: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-01-21 19:17:50,930: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-01-21 19:17:50,937: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-01-21 19:17:50,939: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,939: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,941: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,942: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,942: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,944: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,947: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,948: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,949: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,949: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,949: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,950: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,952: root: INFO: Current backtesting datetime 2023-12-16 09:29:00-05:00
2024-01-21 19:17:50,954: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,954: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,956: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:17:50,956: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:17:50,956: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
