2024-01-21 19:20:23,773: root: INFO: MLTrader : Executing the initialize lifecycle method
2024-01-21 19:20:24,986: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-01-21 19:20:24,990: root: INFO: MLTrader : Executing the before_market_opens lifecycle method
2024-01-21 19:20:24,992: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-01-21 19:20:24,993: root: INFO: MLTrader : Executing the before_starting_trading lifecycle method
2024-01-21 19:20:24,997: root: INFO: [34mMLTrader : Executing the on_trading_iteration lifecycle method at 2024-01-21 19:20:24[0m
2024-01-21 19:20:24,999: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:20:25,066: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:20:25,071: root: INFO: [32mNew market order of | 213.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-01-21 19:20:25,084: root: INFO: [34mMLTrader : Trading iteration ended at 2024-01-21 19:20:25[0m
2024-01-21 19:20:25,085: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-21 19:20:25,085: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:20:25,091: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-21 19:20:25,095: root: INFO: market order of | 213.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-21 19:20:25,096: root: INFO: market order of | 213.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-21 19:20:25,096: root: INFO: [32mFilled Transaction: buy 213.0 of SPY at 469.48999023 USD per share[0m
2024-01-21 19:20:25,097: root: INFO: market order of | 213.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-01-21 19:20:25,114: root: INFO: MLTrader : [34mSleeping for 86400 seconds[0m
2024-01-21 19:20:25,117: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-01-21 19:20:25,117: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-01-21 19:20:25,126: root: INFO: [34mMLTrader : The market is not currently open, skipping this trading iteration[0m
2024-01-21 19:20:25,127: root: INFO: Getting historical prices for SPY, 1 bars, 
